NN name,sum time,number of episodes,sum of ranks,number of hits,my score,best score,number of movements,sum loss,sum accuracy,action frequency
2024-05-09-09-11-22,1745,200,1689,209,24593,148865,64578,8559.1,167.5,"[19108, 44, 507, 15, 1232, 27, 39, 7931, 92, 555, 588, 57, 0, 151, 20, 26, 6974, 0, 0, 1990, 295, 2717, 372, 72, 175, 8366, 0, 3895, 179, 1919, 0, 798, 425, 0, 439, 3974, 31, 97, 29, 1067, 0, 20, 0, 152]"
2024-05-09-10-20-35,1901,200,1688,362,25548,147407,59827,8517.5,166.6,"[0, 64, 3109, 345, 2460, 787, 55, 1457, 3542, 0, 651, 1032, 0, 2211, 655, 1, 1278, 856, 39, 303, 1430, 528, 2289, 4187, 884, 2, 58, 924, 270, 0, 458, 815, 13742, 0, 72, 219, 7967, 136, 536, 6, 2218, 3725, 44, 272]"
2024-05-09-11-57-04,1705,200,1680,161,24125,149637,65991,30738.8,173.7,"[1400, 6570, 449, 319, 119, 2784, 656, 27, 1467, 94, 2371, 372, 24, 457, 236, 1884, 12, 821, 2122, 2674, 1482, 34, 5023, 676, 6311, 4128, 3163, 3148, 188, 1469, 234, 3463, 473, 148, 791, 4961, 1159, 200, 141, 2322, 214, 969, 179, 57]"
2024-05-09-13-02-32,2195,200,1662,327,26673,147011,60965,12960.6,167.7,"[638, 567, 1, 37, 0, 10, 179, 69, 2322, 89, 21, 7039, 5, 1, 29, 16, 3374, 10114, 1740, 5669, 11413, 58, 929, 0, 659, 0, 0, 7, 986, 11, 34, 278, 4968, 7, 3094, 0, 858, 3163, 1, 11, 50, 1, 125, 2192]"
2024-05-09-18-45-33,2264,200,1676,252,24620,148882,61875,1735.4,158.60000000000002,"[2099, 989, 45, 454, 106, 158, 421, 389, 3441, 1038, 709, 2671, 1176, 193, 685, 546, 2732, 7817, 2149, 6739, 3103, 198, 1513, 655, 850, 123, 139, 163, 1030, 561, 789, 590, 2013, 425, 7855, 57, 746, 3240, 106, 561, 604, 35, 573, 1189]"
2024-05-09-20-08-55,2238,200,1665,435,27132,146329,60392,16035.7,90.5,"[24, 6008, 1113, 34, 209, 108, 4527, 1713, 119, 384, 1522, 1671, 30, 5760, 198, 13, 8, 24, 239, 42, 7100, 1042, 26, 130, 26, 83, 110, 21067, 20, 48, 471, 340, 103, 453, 256, 961, 58, 15, 3293, 59, 269, 149, 364, 3]"
2024-05-09-21-43-39,2106,200,1665,178,25406,150710,69099,49832.8,44.8,"[12153, 211, 250, 241, 1484, 115, 1210, 358, 428, 2081, 573, 1405, 421, 171, 412, 1245, 1498, 141, 378, 2709, 2428, 2631, 1194, 340, 1317, 794, 1283, 727, 1305, 454, 7917, 5808, 1152, 135, 3924, 478, 1257, 319, 162, 2699, 1533, 560, 2284, 714]"
2024-05-09-23-00-18,2092,200,1614,200,28909,149141,72884,178.3,59.2,"[23468, 2474, 2886, 782, 0, 862, 2600, 1656, 2, 0, 1467, 2404, 9, 4194, 1597, 30, 159, 274, 2360, 351, 813, 2217, 16, 879, 12, 354, 2523, 3918, 948, 2, 0, 9, 158, 4580, 1327, 4094, 0, 0, 1640, 0, 1200, 5, 0, 414]"
2024-05-10-00-25-22,2114,200,1564,100,33202,148490,88368,135.5,73.4,"[69244, 271, 305, 1119, 688, 439, 155, 530, 509, 220, 235, 99, 296, 304, 609, 29, 0, 0, 472, 811, 95, 389, 574, 170, 596, 382, 130, 450, 612, 345, 65, 1016, 263, 76, 2, 76, 982, 160, 790, 311, 397, 849, 118, 2985]"
2024-05-10-12-00-43,1767,200,1662,272,26448,147652,65084,1791.4,159.2,"[2767, 2241, 84, 174, 68, 7, 292, 606, 3832, 1100, 558, 6181, 363, 114, 233, 541, 2959, 4598, 2753, 5647, 8167, 473, 3978, 97, 791, 45, 71, 117, 958, 174, 456, 1049, 3703, 119, 2565, 72, 1449, 1857, 41, 67, 445, 5, 352, 2715]"
2024-05-10-13-12-17,2454,200,1696,291,24501,146977,60837,733.2,152.9,"[3142, 1395, 466, 415, 451, 30, 375, 1100, 878, 1285, 197, 5571, 4601, 552, 287, 2113, 1422, 1610, 5697, 3394, 4369, 407, 2743, 147, 581, 268, 130, 128, 766, 559, 1413, 559, 2269, 465, 1680, 815, 549, 3904, 252, 257, 909, 56, 88, 2342]"
2024-05-10-21-29-33,2011,200,1735,305,21943,148365,59433,1652.4,143.1,"[1006, 1524, 1863, 2405, 1473, 705, 438, 764, 1700, 957, 1537, 3465, 1229, 383, 610, 4120, 1350, 2141, 3829, 1636, 1916, 809, 1156, 1834, 621, 2040, 522, 867, 600, 2729, 1347, 1938, 1330, 480, 1490, 1581, 475, 834, 422, 647, 614, 565, 617, 664]"
2024-05-10-22-48-04,2407,200,1740,369,22253,148385,54028,6465.6,142.10000000000002,"[7534, 1318, 723, 1958, 848, 2527, 655, 1097, 1088, 975, 640, 920, 2150, 1077, 975, 1011, 928, 1275, 1123, 720, 1067, 758, 640, 1147, 1007, 941, 762, 591, 597, 2727, 977, 776, 1006, 637, 1203, 2187, 790, 742, 812, 1309, 1059, 926, 975, 650]"
2024-05-11-08-48-28,2777,200,1693,368,25105,146792,57645,1694.5,141.7,"[1240, 1542, 1052, 2392, 1095, 1133, 903, 2289, 821, 1298, 1582, 697, 1568, 1266, 895, 1123, 1831, 918, 1409, 1053, 699, 1885, 1643, 1515, 1587, 2407, 1361, 689, 1004, 971, 1810, 3182, 791, 927, 646, 2249, 896, 1084, 1157, 980, 931, 1353, 663, 908]"
2024-05-11-11-40-16,2376,200,1715,325,23263,147382,55733,734.2,151.1,"[7940, 5300, 831, 1201, 836, 749, 575, 745, 705, 1737, 759, 735, 1181, 2998, 734, 797, 693, 791, 750, 930, 695, 889, 593, 906, 671, 870, 759, 646, 633, 952, 1795, 1603, 704, 795, 1767, 2808, 819, 660, 1151, 1009, 757, 1537, 864, 663]"
2024-05-11-11-40-20,2511,200,1709,368,24103,147374,59857,884.4000000000001,147.5,"[6191, 3805, 926, 1801, 1230, 938, 651, 976, 828, 1845, 908, 884, 1225, 2948, 832, 918, 858, 925, 922, 1015, 701, 1101, 623, 1194, 848, 1101, 1128, 797, 638, 946, 1855, 2041, 724, 1041, 1598, 3770, 1443, 691, 1150, 1309, 1207, 1507, 909, 709]"
2024-05-11-11-40-29,1759,200,1715,327,23473,148307,56645,786.7,143.7,"[3253, 1574, 1156, 2191, 1590, 1450, 870, 1295, 1204, 1119, 1163, 847, 1153, 1487, 1349, 1109, 775, 1286, 970, 1267, 966, 1369, 1179, 1753, 1104, 1733, 1201, 845, 705, 1428, 1382, 1353, 847, 821, 1457, 2094, 1379, 669, 1080, 1795, 1306, 1142, 999, 730]"
2024-05-11-18-02-12,1982,200,1716,346,23678,146439,56746,858.3,138.2,"[830, 1183, 1012, 2470, 940, 1322, 1109, 1225, 1089, 3289, 787, 857, 1124, 2408, 812, 948, 1271, 691, 4135, 1169, 639, 1636, 766, 2254, 956, 1079, 1360, 692, 579, 1178, 965, 4119, 875, 810, 861, 1455, 1278, 908, 1016, 1218, 1081, 675, 826, 649]"
2024-05-11-18-02-21,2048,200,1658,355,27780,148057,64188,1746.1,170.0,"[2126, 1053, 687, 641, 668, 653, 625, 650, 18055, 641, 676, 694, 675, 648, 672, 683, 1597, 13059, 1715, 682, 705, 645, 712, 700, 1121, 650, 604, 687, 644, 589, 738, 963, 679, 637, 683, 659, 679, 676, 671, 931, 685, 712, 667, 651]"
2024-05-11-21-33-59,1914,200,1671,429,25612,149917,58094,4453.2,152.6,"[1185, 1489, 829, 2082, 911, 1364, 1390, 2111, 1744, 1498, 825, 723, 1710, 1933, 993, 1323, 1684, 1144, 1891, 1410, 835, 1416, 1205, 2327, 1129, 1174, 1042, 1047, 718, 1287, 1970, 1842, 673, 1015, 836, 1691, 1319, 1214, 1223, 1361, 744, 1286, 963, 1338]"
2024-05-11-23-21-40,1834,200,1717,402,23575,148586,53943,18251.5,115.0,"[621, 1819, 850, 563, 764, 607, 2674, 609, 573, 2073, 2021, 1706, 602, 1613, 1145, 612, 3029, 642, 2219, 590, 717, 561, 1582, 571, 575, 1219, 598, 1731, 666, 731, 922, 865, 4965, 1464, 555, 1011, 1902, 1255, 658, 776, 1366, 1995, 1109, 617]"
2024-05-12-08-23-32,1841,200,1737,463,22976,149293,53302,-403074.4,0.0,"[594, 918, 626, 633, 592, 627, 621, 631, 575, 631, 666, 2175, 756, 2549, 603, 592, 1104, 630, 626, 648, 562, 610, 843, 594, 600, 2695, 621, 2310, 594, 625, 627, 636, 799, 1432, 636, 647, 3271, 13824, 633, 584, 673, 1248, 613, 628]"
2024-05-12-08-23-39,1750,200,1749,334,21084,147764,54052,136209911.7,96.1,"[683, 616, 993, 723, 575, 599, 556, 613, 1124, 583, 666, 641, 2838, 4465, 920, 575, 2273, 745, 3257, 765, 1319, 616, 2711, 578, 611, 2262, 652, 1751, 572, 611, 6086, 1838, 608, 1778, 588, 597, 1265, 603, 1262, 595, 665, 571, 932, 571]"
2024-05-12-08-23-53,1914,200,1717,362,23223,148928,53349,0.1,121.6,"[575, 6040, 587, 611, 597, 574, 547, 599, 553, 580, 683, 7322, 564, 3786, 622, 598, 639, 564, 653, 613, 772, 597, 1282, 575, 580, 6782, 681, 839, 583, 626, 583, 606, 836, 650, 623, 615, 966, 2714, 695, 546, 639, 1863, 620, 569]"
2024-05-12-11-12-47,1687,200,1709,428,24403,147308,55521,586.2,120.1,"[1419, 1002, 4086, 1898, 926, 565, 584, 606, 660, 565, 1420, 2593, 1573, 1895, 615, 540, 659, 607, 577, 563, 574, 615, 622, 869, 2897, 1307, 2794, 687, 655, 608, 1648, 1536, 2045, 2928, 586, 970, 2480, 817, 1537, 704, 1147, 566, 2781, 595]"
2024-05-12-11-13-04,1994,200,1703,403,24436,146597,55577,5214922588.599999,85.9,"[919, 902, 901, 1267, 1742, 1153, 1593, 1645, 1089, 1311, 1164, 1437, 1505, 917, 867, 1099, 1284, 1352, 714, 1071, 2545, 890, 880, 1339, 1253, 1672, 1078, 943, 863, 1403, 2452, 1330, 1840, 896, 1021, 1154, 1095, 1334, 1760, 1715, 837, 1472, 834, 839]"
